task	TK_TA
userTask	TK_UR
serviceTask	TK_SV
sendTask	TK_SE
receiveTask	TK_RE
manualTask	TK_MA
scriptTask	TK_SC
businessRuleTask	TK_BR
exclusiveGateway	GT_EX
parallelGateway	GT_PA
eventBasedGateway	GT_EB
inclusiveGateway	GT_IC
complexGateway	GT_CX
endEvent	EE_ED
endEvent_terminate	EE_TE
endEvent_message	EE_ME
endEvent_cancel	EE_CA
endEvent_error	EE_ER
endEvent_signal	EE_SI
endEvent_escalation	EE_ES
endEvent_compensate	EE_CP
endEvent_link	EE_LI
startEvent	SE_ST
startEvent_message	SE_ME
startEvent_signal	SE_SI
startEvent_timer	SE_TI
startEvent_conditional	SE_CO
startEvent_error	SE_ER
startEvent_escalation	SE_ES
startEvent_isInterrupting	SE_IT
startEvent_compensate	SE_CP
intermediateCatchEvent_message	CE_ME
intermediateCatchEvent_timer	CE_TI
intermediateCatchEvent_conditional	CE_CO
intermediateCatchEvent_signal	CE_SI
intermediateCatchEvent_link	CE_LI
intermediateThrowEvent_message	TE_ME
intermediateThrowEvent	TE_TE
intermediateThrowEvent_link	TE_LI
intermediateThrowEvent_signal	TE_SI
intermediateThrowEvent_escalation	TE_ES
intermediateThrowEvent_compensate	TE_CP
boundaryEvent_error	BE_ER
boundaryEvent_escalation	BE_ES
boundaryEvent_cancel	BE_CA
boundaryEvent_compensate	BE_CP
callActivity	SP_CA
subProcess	SP_SP
adHocSubProcess	SP_AH
transaction	SP_TR
dataObjectReference	DI_DO
dataStoreReference	DI_DS
all	ALL
