cate_name,cate_abbrev,bcf_jpg,bcf_png,vgg_jpg_mean,vgg_jpg_max,vgg_png_mean,vgg_png_max
task,TK_TA,0.36666666666666664,0.5933333333333334,0.773852657004831,0.9424315619967794,0.9390178809714439,0.9907926341072858
userTask,TK_UR,0.5333333333333333,0.88,0.9362961476725522,0.9907704654895666,0.9847939175670267,0.9935974389755903
serviceTask,TK_SV,0.5133333333333333,0.8933333333333333,0.9637812752219532,0.9955609362389023,0.9813322589309696,0.999597099113618
sendTask,TK_SE,0.8,0.8066666666666666,0.98668402082499,0.9955947136563876,0.9964624215725536,0.9995995194233079
receiveTask,TK_RE,0.7266666666666667,0.82,0.9859324758842445,0.9943729903536977,0.989595838335334,0.9955982392957183
manualTask,TK_MA,0.8266666666666667,0.88,0.9825371336812525,0.9959855479727018,0.9481333333333333,0.9948
scriptTask,TK_SC,0.6666666666666666,0.68,0.9742071457246086,0.9923725411481332,0.9505333333333333,0.992
businessRuleTask,TK_BR,0.66,0.8733333333333333,0.98,0.9936,0.8873098478783027,0.9899919935948759
exclusiveGateway,GT_EX,0.8866666666666667,0.92,0.9991938734381298,1.0,0.9972545868488014,1.0
parallelGateway,GT_PA,0.9666666666666667,0.96,0.9982986389111289,1.0,0.9967333333333332,1.0
eventBasedGateway,GT_EB,0.88,0.9533333333333334,0.7275561097256857,0.9970074812967581,0.8355999999999999,0.9996
inclusiveGateway,GT_IC,0.9533333333333334,0.9133333333333333,0.9907597535934292,1.0,0.9920675537359264,1.0
complexGateway,GT_CX,0.9133333333333333,0.96,0.7717254408060453,1.0,0.9991593106347204,1.0
endEvent,EE_ED,0.18,0.92,0.7841784989858013,0.993103448275862,0.9981876761981474,1.0
endEvent_terminate,EE_TE,0.6,0.9733333333333334,0.9608843537414966,0.9995998399359743,0.9946852682278692,0.9995017438963627
endEvent_message,EE_ME,0.6333333333333333,0.9466666666666667,0.7015254917703734,0.9995985547972702,0.9953145917001339,0.9987951807228915
endEvent_cancel,EE_CA,0.2866666666666667,0.9933333333333333,0.962875939849624,0.9971804511278195,0.9996855345911949,1.0
endEvent_error,EE_ER,0.16,0.9466666666666667,0.507768361581921,1.0,0.9959696538643907,1.0
endEvent_signal,EE_SI,0.46,0.9866666666666667,0.7508264462809917,1.0,0.9991666666666666,1.0
endEvent_escalation,EE_ES,0.14666666666666667,0.9866666666666667,0.5519153225806451,1.0,0.8333333333333334,1.0
endEvent_compensate,EE_CP,0.26666666666666666,0.8933333333333333,0.6535714285714286,1.0,1.0,1.0
endEvent_link,EE_LI,0.22,1.0,0.75,1.0,0.9975669099756691,1.0
startEvent,SE_ST,0.5,0.8533333333333334,0.9745184590690208,0.992776886035313,0.8207799145299145,0.9967948717948718
startEvent_message,SE_ME,0.7266666666666667,0.9333333333333333,0.9964774557165862,0.999194847020934,0.9975303697770657,1.0
startEvent_signal,SE_SI,0.09333333333333334,0.84,1.0,1.0,0.9975247524752474,1.0
startEvent_timer,SE_TI,0.34,0.98,0.9997384937238494,1.0,0.9966938934266821,1.0
startEvent_conditional,SE_CO,0.19333333333333333,0.8866666666666667,0.9951033732317737,1.0,0.9882246376811595,1.0
startEvent_error,SE_ER,0.54,0.8866666666666667,0.9990566037735849,1.0,0.8645634161886552,1.0
startEvent_escalation,SE_ES,0.5733333333333334,0.9666666666666667,1.0,1.0,0.9996725605762934,1.0
startEvent_isInterrupting,SE_IT,0.9933333333333333,1.0,1.0,1.0,1.0,1.0
startEvent_compensate,SE_CP,0.41333333333333333,0.98,1.0,1.0,0.8926315789473684,1.0
intermediateCatchEvent_message,CE_ME,0.5933333333333334,0.7666666666666667,0.9816753926701571,0.9935561820378574,0.9526,0.9984
intermediateCatchEvent_timer,CE_TI,0.7533333333333333,0.8333333333333334,0.9934581320450886,0.9971819645732689,0.7316156736446592,0.9971819645732689
intermediateCatchEvent_conditional,CE_CO,0.5733333333333334,0.6266666666666667,0.9535856573705179,1.0,0.9044136515268155,0.9923017705927637
intermediateCatchEvent_signal,CE_SI,0.6466666666666666,0.8,0.9411177644710579,0.9970059880239521,0.982787156570672,0.9920556107249255
intermediateCatchEvent_link,CE_LI,0.7533333333333333,0.88,0.9408557046979866,1.0,0.6680790960451978,1.0
intermediateThrowEvent_message,TE_ME,0.6066666666666667,0.8333333333333334,0.9981992797118847,1.0,0.9043682795698925,0.9991935483870967
intermediateThrowEvent,TE_TE,0.30666666666666664,0.82,0.9819422150882826,0.9863563402889246,0.963,0.9972
intermediateThrowEvent_link,TE_LI,0.3933333333333333,0.7733333333333333,0.8798507462686567,1.0,0.9744744744744743,1.0
intermediateThrowEvent_signal,TE_SI,0.3466666666666667,0.8733333333333333,0.7520938023450586,1.0,0.999721293199554,1.0
intermediateThrowEvent_escalation,TE_ES,0.37333333333333335,0.78,0.9616087751371115,1.0,1.0,1.0
intermediateThrowEvent_compensate,TE_CP,0.5266666666666666,0.9066666666666666,0.5809108527131783,0.8255813953488372,0.9607652399481194,1.0
boundaryEvent_error,BE_ER,0.8466666666666667,0.8466666666666667,0.9944444444444445,1.0,0.9224330357142857,1.0
boundaryEvent_escalation,BE_ES,0.64,0.82,0.9911533420707732,1.0,0.9882659713168187,1.0
boundaryEvent_cancel,BE_CA,0.8733333333333333,0.9933333333333333,0.999219968798752,1.0,0.7717391304347826,1.0
boundaryEvent_compensate,BE_CP,0.9,0.9333333333333333,0.9267543859649123,1.0,0.8467365967365968,1.0
callActivity,SP_CA,0.68,0.64,0.866046418567427,0.9411764705882353,0.9884000000000001,0.9992
subProcess,SP_SP,0.44,0.4666666666666667,0.9891033623910337,0.9937733499377335,0.9638704318936876,0.9887873754152824
adHocSubProcess,SP_AH,0.6866666666666666,0.56,1.0,1.0,0.9979449239621867,1.0
transaction,SP_TR,0.82,0.7933333333333333,0.9548846675712348,1.0,0.942857142857143,0.998639455782313
dataObjectReference,DI_DO,0.8733333333333333,0.9333333333333333,0.7542735042735043,0.9922669922669922,0.9948625567120364,0.9987990392313851
dataStoreReference,DI_DS,0.9133333333333333,0.9933333333333333,0.9797051696284329,0.9967689822294022,0.9846938775510204,1.0
all,ALL,0.5878205128205128,0.865,0.9238582637875329,0.9646345570899293,0.9505280746162574,0.9902240732196965
